TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,"Dave
            Dutch (REP)
        ","Mike
            Miller (REP)
        ","BriannaT.
            Scott (DEM)
        ","KellyCharron
            Tebay  (DEM)
        ","Bruce
            Campbell  (LIB)
        ","Tim
            Orzechowski  (LIB)
        ","JanetM.
            Sanger  (UST)
        ","JohnPaul
            Sanger  (UST)
        ","Aaron
            Mariasy  (GRN)
        ","BridgetteR.
            Abraham-Guzman (NLP)
        ",WriteIn
Totals,459016,283519,61%,109949,109513,112780,101694,8124,5985,5160,3138,3868,3475,1424
Ada Township  Precinct 1,1184,871,73%,381,386,311,287,26,21,5,6,8,8,3
Ada Township  Precinct 2,2221,1588,71%,684,672,577,534,43,26,15,7,14,4,9
Ada Township  Precinct 3,1308,942,72%,472,473,292,282,28,23,10,8,7,8,8
Ada Township  Precinct 4,1038,785,75%,418,431,204,188,15,19,4,4,14,2,0
Ada Township  Precinct 5,1910,1374,71%,727,733,398,367,35,33,15,11,11,11,7
Ada Township  Precinct 6,892,612,68%,269,264,229,202,17,13,4,4,11,1,1
Ada Township  Precinct 7,1078,793,73%,343,348,294,259,20,20,9,5,20,15,0
Ada Township  Precinct 8,1120,816,72%,371,380,272,260,21,18,15,7,10,13,1
Algoma Township  Precinct 1,1246,830,66%,421,400,201,187,25,19,24,21,9,12,3
Algoma Township  Precinct 2,1512,1078,71%,577,574,255,227,26,18,20,12,7,14,5
Algoma Township  Precinct 3,1597,1108,69%,593,560,277,244,28,20,20,15,14,16,8
Algoma Township  Precinct 4,1731,1092,63%,488,473,338,311,40,37,17,9,20,15,1
Algoma Township  Precinct 5,2098,1452,69%,693,666,427,401,32,25,25,18,12,10,0
Alpine Township  Precinct 1,1052,688,65%,308,314,203,177,21,14,15,5,8,9,5
Alpine Township  Precinct 2,1344,835,62%,288,295,351,315,33,22,19,10,8,8,5
Alpine Township  Precinct 3,2208,1494,67%,584,592,571,523,33,33,44,28,20,20,13
Alpine Township  Precinct 4,2164,1175,54%,505,508,386,344,23,24,22,11,13,14,3
